Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Fall under,area/location,Classified area,due to fenceless border I put them under,Alive/dead,cause of death,Area,Movement,conditions,Human presence,link
109,wildpicha,Willem Tanja Dekker,Instagram,Winter,17/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"not good, skinny",,https://www.instagram.com/p/B1Q7m3_gFB1/
110,timelessafricasafaris,Kim Evans,Instagram,Spring,1/10/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,digging and feeding,skinny,,https://www.instagram.com/p/B3FsJ93pHLv/
111,Richard Flack,Richard Flack,Facebook,Winter,30/6/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,paused,"good, with a wound on its back",,https://www.facebook.com/photo?fbid=10155632006605949&set=pb.552555948.-2207520000..
112,wyldography,Dave McEllistrum,Instagram,Winter,20/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,"bad, very skinny",,https://www.instagram.com/p/B1ZeJ30gaO0/
113,wyldography,Dave McEllistrum,Instagram,Spring,26/10/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"bad, very skinny",,https://www.instagram.com/p/B4FjTstAE8_/
114,exclusivetouchafrica_sid_hayes,,Instagram,Winter,9/7/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,walking,good,,https://www.instagram.com/p/46rbWLsRRd/
115,wyldography,Dave McEllistrum,Instagram,Spring,30/11/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,digging,"bad, very skinny",,https://www.instagram.com/p/B5fcB4QA77k/
116,kurtjaybertels,Kurt Jay Bertels,Instagram,Winter,16/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,"bad,very skinny",,https://www.instagram.com/p/B1NjYpTg2do/
117,julianparsonsphoto,Julian Parsons,Instagram,Winter,12/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,"very bad, very skinny",,https://www.instagram.com/p/B1EHryXAnSK/
118,julianparsonsphoto,Julian Parsons,Instagram,Winter,15/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,"bad, very skinny",,https://www.instagram.com/p/B1Mz_6VgZ4j/
119,Diana Mykat,Diana,Facebook,Winter,3/8/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://web.facebook.com/photo.php?fbid=675344606147842&set=pb.100010169267235.-2207520000..&type=3
120,deirdreopie,Deirdre Opie,Instagram,Winter,17/6/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/Byz8mDLAdyP/
121,sergwiza,Serguisz Wiza,Instagram,Autumn,23/5/2019,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,good,,https://www.instagram.com/p/Bx0CA1VAwTI/
122,hkpirate,Dennis Valdes,Instagram,Winter,19/7/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BWvSZy9hH9p/
123,frenchclichephotography,Melanie,Instagram,Winter,17/6/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/Byz1ZcvAT7t/
124,shantharampai_hudil,Mahesh,Instagram,Winter,23/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"not good, skinny",,https://www.instagram.com/p/B1glKppnQw4/
125,fabgza,,Instagram,Winter,25/6/2015,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,
126,jss_wild_portraits,,Instagram,Summer,21/2/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,
127,faffa001,Francois Pienaar,Instagram,Winter,17/7/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,foraging,good,,https://www.instagram.com/p/BlVRtTrF7ya/
128,faffa001,Francois Pienaar,Instagram,Winter,12/7/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BlI_9VQnWre/
129,andreagalliph,Andrea Galli,Instagram,Winter,24/7/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/Blm1Nh7FMsj/
130,jenrobterz,Jen Robertson,Instagram,Winter,17/6/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BGvzD5-vd67/
131,richard_visser1,Richard Visser,Instagram,Autumn,6/4/2016,morning,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BD2gOWiIMUn/
132,richard_visser1,Richard Visser,Instagram,Spring,25/11/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,https://www.instagram.com/p/-f5bypIMS6/
133,veronique_venter,Veronique Venter,Instagram,Winter,13/7/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/Bz2OLuwlqxd/
134,Bert Duplessis,Bert Duplessis,Facebook,Summer,3/12/2012,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=10200179537516539&set=a.10200177580667619
135,lancevandevyver,Lance van de Vyver,Instagram,Autumn,23/5/2016,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BFwBO5-nDHX/
136,kristofeyckmans,Kristof Eyckmans,Instagram,Winter,16/8/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/B6JNXaOl26O/
137,sid_hayes8,Sid Hayes,Instagram,Winter,9/7/2015,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,https://www.instagram.com/p/46rbWLsRRd/
138,Latest Sightings Kgalagadi,Thomas,Facebook,Summer,27/1/2010,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,
139,rozzie_aussie,Rozy Zito,Instagram,Winter,9/6/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/ByfQGe0ADVP/
140,ignacio_yufera,Ignacio Yufera,Instagram,Winter,18/8/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,digging,good,,https://www.instagram.com/p/B1Tul8xgYLd/
141,alice_restaurants,Jamie Paterson,Instagram,Winter,26/6/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BzKSv6zAUXN/
142,daryldellsafaris,Daryl Dell,Instagram,Spring,1/10/2016,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BLB7CIkD2og/
143,daryldellsafaris,Daryl Dell,Instagram,Winter,26/6/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BHIG3AABxig/
144,Bukela Africa Safaris,Marco Tonoli,Facebook,Autumn,6/5/2013,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,basking ,good,,https://web.facebook.com/bukelaafricasafaris/photos/468212669923986
145,Bukela Africa Safaris,Graeme Skinner,Facebook,Winter,27/8/2012,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,waterhole,drinking water,good,,https://web.facebook.com/bukelaafricasafaris/photos/354480044630583
146,Tswalu Kalahari,Gus Van Dyk,Facebook,Spring,30/10/2014,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,https://web.facebook.com/TswaluKalahariReserve/photos/a.174735242564934/791897060848746
147,Martin Coetzee,Martin Coetzee,Facebook,Winter,23/6/2017,afternoon,South Africa,Northern Cape,Kgalagadi Transfrontier Park,,,Kgalagadi Transfrontier Park,,alive,,grasses,walking,"not good, skinny",,https://www.facebook.com/photo?fbid=678088045733940&set=gm.1470358393029667
148,Russell Munroe,Russell Munroe,Facebook,Autumn,1/5/2017,evening,South Africa,Northern Cape,Kgalagadi Transfrontier Park,,,Kgalagadi Transfrontier Park,,alive,,road,walking,good,,https://www.facebook.com/photo?fbid=10155325951513750&set=gm.1419194791479361
149,Chris Lombard,Chris Lombard,Facebook,Winter,14/7/2019,afternoon,South Africa,Northern Cape,Kgalagadi Transfrontier Park,,,Kgalagadi Transfrontier Park,,alive,,grasses,walking,good,,https://www.facebook.com/photo?fbid=2275981462509698&set=gm.2429495723782591
150,Robert Bernatzeder,Robert,Facebook,Spring,1/10/2017,afternoon,South Africa,Northern Cape,Kgalagadi Transfrontier Park,,,Kgalagadi Transfrontier Park,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=10159388082665542&set=gm.1565297786869060
151,Katja Soehngen,,Facebook,Winter,28/8/2012,daylight,South Africa,Northern Cape,Kgalagadi Transfrontier Park,,,Kgalagadi Transfrontier Park,,dead,hyena,ground surface,,,,https://web.facebook.com/photo/?fbid=3889869399793&set=gm.433229760057262
152,Kalahari Trails,Jeremy Bolton,Facebook,Winter,27/7/2013,evening,South Africa,Northern Cape,Kalahari Trails Meerkat Sanctuary,,,Kgalagadi Transfrontier Park,,alive,,grasses,walking,good,,https://web.facebook.com/kalaharitrails/photos/a.304208606311838/554106361322060
153,Martin Coetzee,Martin Coetzee,Facebook,Winter,23/6/2017,afternoon,South Africa,Northern Cape,Kgalagadi Transfrontier Park,,,Kgalagadi Transfrontier Park,,alive,,grasses,feeding,"not good, bones are showing",,https://web.facebook.com/photo/?fbid=678088045733940&set=gm.1470358393029667
154,Gerda Zandstra,Gerda,Facebook,Summer,5/2/2012,afternoon,South Africa,Northern Cape,Kgalagadi District,,,Kgalagadi Transfrontier Park,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=268468286558591&set=a.104963979575690
155,Dan Ashdown,Dan Ashdown,Facebook,Autumn,21/5/2018,evening,South Africa,Northern Cape,Marrick Game Farm-Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.facebook.com/photo.php?fbid=1708596155893499&set=pb.100002293935898.-2207520000..&type=3
156,Mark Anderson,Mark Anderson,Facebook,Spring,12/10/2017,evening,South Africa,Northern Cape,Marrick Game Farm-Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=10213817337497251&set=a.1159357793742
157,merlinwilsenach,Merlin Wilsenach,Instagram,Summer,8/1/2018,evening,South Africa,Northern Cape,Marrick Game Farm-Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BdrOtl-Duxn/
158,aboutnaturetours,,Instagram,Winter,15/8/2017,evening,South Africa,Northern Cape,Marrick Game Farm-Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BX1IcVrF1uR/
159,shadixpn,,Instagram,Spring,30/10/2017,evening,South Africa,Northern Cape,Marrick Game Farm-Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,
160,t.h.o.t.a,,Instagram,Spring,18/11/2019,afternoon,South Africa,Northern Cape,"Thota Lodge, Van Zylsrus",,,Northern Cape-other,,alive,,road,walking,good,,https://www.instagram.com/p/B4_7P2NlJ3W/
161,andreas_wildlife,Andreas Jonsson,Instagram,Winter,22/8/2017,evening,South Africa,Northern Cape,Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BYF2TmhBInF/
162,Rockjumper-Worldwide Birding Adventures,Markus Lilje,Facebook,Spring,30/10/2013,evening,South Africa,Northern Cape,Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/rockjumperbirding/photos/a.547552951976588/547553055309911
163,Rockjumper-Worldwide Birding Adventures,Rich Lindie,Facebook,Spring,15/11/2012,evening,South Africa,Northern Cape,Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/rockjumperbirding/photos/a.156184391113448/403285536403331
164,Carsten Schradin,Carsten Schradin,Facebook,Spring,7/9/2015,evening,South Africa,Northern Cape,Goegap Nature Reserve,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=1161129257237006&set=pcb.865250220197481
165,Carsten Schradin,Carsten Schradin,Facebook,Autumn,23/4/2014,evening,South Africa,Northern Cape,Goegap Nature Reserve,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/carsten.schradin/videos/852135531469715
166,Carsten Schradin,Carsten Schradin,Facebook,Winter,24/6/2014,afternoon,South Africa,Northern Cape,Goegap Nature Reserve,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/photo?fbid=888964164453518&set=pcb.675324735856698
167,Terrence Anderson,Terrence Anderson,Facebook,Spring,1/9/2016,evening,South Africa,Northern Cape,,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=10154492377586018&set=a.10154540032436018
168,blueduikerza,,Instagram,Winter,10/7/2017,evening,South Africa,Northern Cape,,,,Northern Cape-other,,alive,,grasses,walking,good,,
169,Ryan Tippett,Ryan Tippett,Facebook,Autumn,5/5/2013,evening,South Africa,Northern Cape,North of Carnarvon,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=514795465228596&set=gm.514730218573882
170,andrewschoeman,Andrew Schoeman,Instagram,Winter,6/8/2018,evening,South Africa,Northern Cape,Marrick Game Farm-Kimberley,,,Northern Cape-other,,alive,,grasses,standing,good,,https://www.instagram.com/p/BmIW2Rsn7qt/
171,marricksafaris,,Instagram,Winter,22/7/2018,evening,South Africa,Northern Cape,Marrick Game Farm-Kimberley,,,Northern Cape-other,,alive,,grasses,walking ,good,,https://www.instagram.com/p/Bli6aI3lRWO/
172,Lisette Shain Datnow,,Facebook,Summer,29/12/2015,evening,South Africa,Northern Cape,Marrick Game Farm-Kimberley,,,Northern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=10153925419417125&set=basw.Abq0cpiARBeGsWii_9qQGreUz-z21fuCAvhpA-siH9mRnOGb2d-wX0CpJ5nTgo8yPyZvLydqnWhQ_hTQYAn0Ah6e9FdibOMt7duifAYMJR8rlc5oCG3Xugh8vIiAPT4-z52PvOD1SZDPzw3-W-zAKmSE7iwLSFV5OuFj75SWa4WBYw&opaqueCursor=Abq_nnnJkYdDi9zM7qhlT1sAZjgmAoRYcqd-bvfHAtFP0z5V201ztj90ccS3PeWpzcy2dEwZyt2WxVnCwUsPRmvOKttQNkzpMKamtTunmoc9nAKO8pamWA04lZo28DptjNTv9gMOH9KX_klRIMidk-ht9TrRKA402Iczk0mWxQAegJQVCEwvA6JJYdgHW9BMW8-8QiOQb71TDSq3Q8Okoj6GjJt2PlYKW-EuEsN34S7Sc7ov5-Mj---gZRPtWWJQwZwgW7miCk1I0KhElpiLanhm4YLaSQtSpTshP1Khi1ZQgeM_UqSubs2Nq7QvXD86LxDS7pEt0FiMwAPod8IesBp_518ZWRPk6hMsxMsljneMUz5DM__XHcd6gAzh5TgJLUXgftld8e5sErq4EuL8W1P6jeeHYKPEQXTwg2GKjrHZgObhcSUq-bBLN9HItcNxtarIqTr9H0xeRPweN-xWENeMKstSFc6Fd5BwHTsBjsOsq2m17SRpdoOqw5jfJ7kjKGYMij279hoREkLwDAfalPeaX4XoawN2wfpZ4qArYtknD7dSvVnfln4acS_O_Uj9qVESbdDRk-4ntzfV0yPyHrwlOum15_7Fu_fSEoMAvoNW7V7dNA5zCXC4jK3yIDfBw79ewfs_FTWGGOoTRFpqGp5WGcefgMyD4EGrk2kuwgbm3zLnnkfZkKTadbleAs8zIPXsbTxIyrh03d35w62yCn3USICAXxsoTofq2TnDUQ9TVVxp9lBbyilD0TSXFKrT5n8kKckHdLxFcMMJUnHYvLGINUMFPqpjUi0N5Gc0TvorBQ
173,alanjosephferraris,,Instagram,Winter,25/6/2015,daylight,South Africa,Northern Cape,Tankwa Karoo National Park,,,Northern Cape-other,,alive,,ground surface,walking,"not good, bones are showing",,
174,scottramsay.africa,Scott Ramsay,Instagram,Spring,7/10/2016,afternoon,South Africa,Northern Cape,Tankwa Karoo National Park,,,Northern Cape-other,,alive,,ground surface,walking ,good,,https://www.instagram.com/p/BLQSIKWArid/
175,Mark Hinrichsen,Amelia Nel,Facebook,Winter,17/6/2019,afternoon,South Africa,Northern Cape,Tankwa Karoo National Park,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.facebook.com/photo?fbid=10219811791674962&set=gm.2381488908583273
176,basson_vanzyl,Basson Van Zyl,Instagram,Winter,11/8/2019,daylight,South Africa,Northern Cape,Tankwa Karoo National Park,,,Northern Cape-other,,alive,,ground surface,walking,not good,,https://www.instagram.com/p/B1BLPD_pULU/
177,love_wild_africa,,Instagram,Spring,7/10/2016,afternoon,South Africa,Northern Cape,Tankwa Karoo National Park,,,Northern Cape-other,,alive,,ground surface,walking,good,,
178,clairebearjie,Claire,Instagram,Winter,7/8/2016,afternoon,South Africa,Northern Cape,Tankwa Karoo National Park,,,Northern Cape-other,,alive,,vegetation,walking,good,,
179,sadawagamereserve,,Instagram,Winter,2/8/2017,daylight,South Africa,Northern Cape,Sadawa Game Reserve,Tankwa Karoo National Park,,Northern Cape-other,,alive,,ground surface,walking,good,yes,https://www.instagram.com/p/BXTJkAxBqwu/
180,Sjoerd van Berge Henegouwen Photography,Sjoerd van Berge,Facebook,Spring,2/11/2019,evening,South Africa,Northern Cape,"Kimberley, Noordkaap",,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.facebook.com/sjoerdvbh/photos/2661660893880128
181,etienne_oosthuizen,Etienne Oosthuizen,Instagram,Autumn,20/4/2018,daylight,South Africa,Northern Cape,Tankwa Karoo National Park,,,Northern Cape-other,,alive,,waterhole,drinking water,good,yes,https://www.instagram.com/p/BhxsGnmgnJP/
182,Royle Safaris,camera trap,Facebook,Autumn,11/4/2016,evening,South Africa,Northern Cape,Kalahari,,,Northern Cape-other,,alive,,waterhole,drinking water,good,,https://web.facebook.com/roylesafaris7/videos/1242366555791128
183,Fabian Gieske Photography,camera trap,Facebook,Spring,2/10/2015,evening,South Africa,Northern Cape,Kalahari,,,Northern Cape-other,,alive,,ground surface,walking,good,,https://web.facebook.com/fabiangieskephotography/photos/a.405642196213274/773642502746573
184,latest sightings-Kgalagadi,Hamman,Facebook,Spring,23/11/2019,evening,South Africa,Northern Cape,Upington,,,Northern Cape-other,,alive,,grasses,walking,not good,,https://www.facebook.com/LatestSightingsKgalagadi/posts/1867132870098616
185,Sanparks Honorary Rangers,Matthew Schurch,Facebook,Winter,28/6/2013,evening,South Africa,Northern Cape,Augrabies Falls National Park,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.facebook.com/SANParksHonoraryRangers/photos/a.671259476222931/671259486222930
186,shadixpn,,Instagram,Spring,30/10/2017,evening,South Africa,Northern Cape,Augrabies Falls National Park,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/Ba4WbS6gyJb/
187,lambertvorster,Lambert Vorster,Facebook,Autumn,29/5/2018,evening,South Africa,Northern Cape,Olifantshoek,,,Northern Cape-other,,alive,,grasses,walking,good,yes,https://www.instagram.com/p/BjXBSP_DcA8/
188,Kathleen van Zijl,Kathleen,Facebook,Winter,12/8/2019,afternoon,South Africa,Northern Cape,Sutherland,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.facebook.com/photo?fbid=2589908167732978&set=pcb.2479905485408281
189,Niewoudtville cape,,Facebook,Winter,3/6/2016,afternoon,South Africa,Northern Cape,Karoo Kenhardt District,,,Northern Cape-other,,alive,,road,walking,good,,https://web.facebook.com/photo?fbid=924566964336181&set=a.924566841002860
190,garethjtate,,Instagram,Winter,13/8/2016,afternoon,South Africa,Northern Cape,Central Karoo District Municipality,,,Northern Cape-other,,alive,,vegetation,walking,good,,
191,yellowfinfilms.pty,Morne TerBlanche,Instagram,Autumn,19/4/2018,daylight,South Africa,Northern Cape,Karoo National Park,,,Northern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BhvyYDygzCw/
192,Karoohart,,Instagram,Winter,12/6/2019,evening,South Africa,Northern Cape,Karoo National Park,,,Northern Cape-other,,alive,,burrow,digging,good,,https://www.instagram.com/p/Byn9PfOF_LZ/
193,Africa Geographic,Peter Dewey,Facebook,Summer,18/1/2016,afternoon,South Africa,Northern Cape,Mokala Game Reserve,,,Northern Cape-other,,alive,,ground surface,foraging ,good,,https://www.facebook.com/africa.geographic/photos/a.10153120329846400/10153194672331400
194,Willem Kruger,Willem,Facebook,Winter,11/7/2013,afternoon,South Africa,Northern Cape,Mokala Game Reserve,,,Northern Cape-other,,alive,,ground surface,feeding,good,,https://web.facebook.com/photo/?fbid=368346333291317&set=o.206874196042594
195,glenharry_gamereserve,camera trap,Instagram,Spring,14/9/2019,evening,South Africa,Eastern Cape,Glenharry Game Reserve,,,Eastern Cape-other,,alive,,grasses,running away,good,,https://www.instagram.com/p/B2YsnbXgRSQ/
196,Alex van den Heever,,Facebook,Winter,15/7/2016,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,digging,good,,https://web.facebook.com/alex.vandenheever.1/posts/1391605867523258
197,Mike Kendrick,Mike Kendrick,Facebook,Winter,31/7/2018,evening,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,running away,good,,https://www.facebook.com/photo.php?fbid=10156651597858255&set=pb.570738254.-2207520000..&type=3
198,Mike Kendrick,Mike Kendrick,Facebook,Winter,26/8/2017,evening,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.facebook.com/photo?fbid=10155631025823255&set=pb.570738254.-2207520000..
199,joe.grosel_tembele,Joe Grosel,Instagram,Autumn,20/4/2017,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,vegetation,foraging and feeding,not good,yes,https://www.instagram.com/p/BTHgid-gJSJ/
200,joe.grosel_tembele,Joe Grosel,Instagram,Spring,24/9/2017,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,road verge,walking and foraging,not good,,https://www.instagram.com/p/BZaTBe8HtjI/
201,samara_karoo,Tendai Moyo,Instagram,Winter,15/7/2015,evening,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.instagram.com/p/5J1DnZiAp8/
202,samara_karoo,Etienne Oosthuizen,Instagram,Spring,26/11/2015,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.instagram.com/p/-i1qb4iAiv/
203,samara_karoo,Tony Camacho,Instagram,Winter,26/7/2016,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,ground surface,digging,not good,,https://www.instagram.com/p/BIVJDgQDzs6/
204,samara_karoo,Etienne Oosthuizen,Instagram,Autumn,18/5/2016,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,ground surface,digging,good,,https://www.instagram.com/p/BFi9YslCAhu/
205,samara_karoo,Etienne Oosthuizen,Instagram,Winter,28/8/2017,morning,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,feeding,not good,,https://www.instagram.com/p/BYU6S-0lHFi/
206,samara_karoo,Hansa Winshaw,Instagram,Winter,26/7/2018,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,ground surface,lying on the ground its tongue out,good,,https://www.instagram.com/p/BltQP89F5wH/
207,samara_karoo,Max Waugh,Instagram,Autumn,7/3/2019,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,ground surface,walking,good,,https://www.instagram.com/p/ButVlzQgxkI/
208,samara_karoo,Garth Lucas,Instagram,Winter,13/6/2019,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,ground surface,digging,good,,https://www.instagram.com/p/BypvxIrndQA/
209,samara_karoo,Marnus Ochse,Instagram,Winter,5/8/2019,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,ground surface,walking,good,,https://www.instagram.com/p/B0yGi_WJ6Na/
210,Julius Mkhize,Julius Mkhize,Instagram,Winter,1/8/2019,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,ground surface,walking and digging,good,,https://www.instagram.com/p/B0oQDkNH2xM/
211,africathisiswhyilivehere,,Instagram,Winter,26/8/2016,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,vegetation,walking,good,,https://www.instagram.com/p/BJlZ9lngOFw/
212,joe.grosel_tembele,Joe Grosel,Instagram,Spring,24/9/2017,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.instagram.com/p/BZaTBe8HtjI/
213,joe.grosel_tembele,Joe Grosel,Instagram,Autumn,20/4/2017,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,vegetation,foraging,good,,https://www.instagram.com/p/BTHgid-gJSJ/
