Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Falls under,Comment on area/Location,Classified area,Due to fenceless border I put them under,Alive/dead,Area,Movement,Sex,Human presence,link
136,Colin Smith,Colin,Facebook,Spring,29/10/2014,daylight,South Africa,Mpumalanga,Skukuza,Kruger National Park,situated on the southern banks of the Sabie River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,golf course,walking,,,https://mobile.facebook.com/photo.php?fbid=591079684351962&id=100003498076386&set=a.244888665637734&_rdc=1&_rdr
137,latest Sightings-Kruger,Anja du Toit,Facebook,Autumn,21/5/2013,morning,South Africa,Mpumalanga,between Skukuza and Lower Sabie,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking next to the road,,,https://web.facebook.com/photo?fbid=496308470439487&set=bc.Abo509FXUrz1yJDeTEVLvTaCliyMtTh64SBY40imwAbEj6KjafrlXUt0leoCzi4eJ_95iGvobWqGpzKmn914NTdbeSYm_29xaRztMQhJ8Xgna9CPZvb9kREsDjsI6rTOBz59k4JitwswRutZboOH_0X4fopEpi0vCY7TvEMmBhTK61BkeVzwmlOF2EQtQZlVRRE&opaqueCursor=Abq7SXhIda4X2Tp2YVKHky-ThzUembp3dkskWLPe1MM-2nY667HeTbb4uXLSnryGN4eDYbMR4HJfrS4Dvr2kVI5714gWb02JJQhbZPyo9F-5CjrvuUE_2eg7GDnEIWkmhq-ff_rxLlLrqQt9jm-7yfc_sRzrnr1EjMSFDI1vA7aBSEm1k4KYPAThjLSKPtf9nimaRVk8nlVivk_KjhhOM71dx1TpG267fejkKtGE0i1-uwvyHwwW0ff9K4jliKNhwvLzR9_D8OmolSPE93YY8eegHzQS-9AfGjKupup_LzEPcOoBcYi7Awu9l1nI5eSKa4HlYI6_Q4LFRQKj-yXankXDWy_pHguBDIFakOisdkTo2O64KU_Fqpl44_N6uaCkCs_TTZyby8oXORLkbLLIf4bZwG4QbHe6wmXgHyB8dFdgnd-tP3Jhd56_d_f92BLETZXPIKsoWHtsex0GycBcMxRwPCg2tMivGM9v1MpWrUSwvXG1XcII-R4E8vcSWj7-cJIDNJ5Je_5rrl49yr91HuN-CS0EHaHQerymKADvU_E6aq2G5jWntSFiyPMAuCUfY3k-QPokjU0we1WOYsHn3DDs
138,Latest Sightings-Kruger,Ashley,Facebook,Winter,29/6/2016,afternoon,South Africa,Mpumalanga,Between Pretoriuskop and Skukuza,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=1129038380499823&set=bc.AbrDcCMvoFnfWZ721SqPBEOP4CXWRzdPQGpdZEVdqp34S05Eo83phgQQNT5dk7VgmK2DRhgrmoBNLnzoDRbWYZFpTqW5BZN-MsXgNzWdg5ieW0lyrUPb1KTyMPfFbRtvu4mj789iU8MSWvkZTRj9n1gGoNky2EOkm70HeBAsNQ6a_F2JpO5AjzdMAayt3lg8_ls&opaqueCursor=AbqfO4UbkNQbkqTNtj-sOF6eA9Tdhkv22L6tr4G2kijupcVCyNdd6fNDg0moKt56-HqwTrIZxoKq-n21fjjYA9oNsNKBQmfkwxnFdgNCd8JafGq5m9MrBxzO3AZTVTgn4AU2kNXgbUxvweAOId8dyNUByfEnvliP8VYI-uMm1XiVgpRnbwV9qHEFCepQzInuhHwVIux2LKMsDwngHYtwE06I7UeP7WzWTrnhT4zR8suxREt694Cb3uO-FhEKpPYp1TxYPL_nMgt2RvrwDlNwLUU0EQw0lvcBWmQahAQjxtISETTvqXd97LmiqrFnYn7Lrxbiq3wcBfp-XM_fR-qwOzVEhaSUXC1bhF_Fa6L0qTVcNfyT2Ga0mCy3Z2MAZIHB9CM6dwKxgIfjf4CcvIr4uwvJByY7jSNCwWhjGQ62sG_dMbBZYdtkTcp0x1X58RaeucTtSoRy-v7J5RMhUQXHX_yYOH8i4cpruS6p6_vTW7WwIZFAVVXCz7OqNhlVRkpIYtcnWTlAwSo9jlPZuWQhhJBz
139,Stephen Kangisser Wildlife Photography,Stephen Kangisser,Facebook,Autumn,1/3/2016,daylight,South Africa,Mpumalanga,Between Pretoriuskop and Skukuza,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://mobile.facebook.com/kangi123/photos/a.361679517290321/489572487834356/?type=3&_rdc=1&_rdr
140,Latest Sightings-Kruger,Jana,Facebook,Winter,7/7/2016,daylight,South Africa,Mpumalanga,Between Skukuza and Malelane Gate,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,bushes,walking,,,https://web.facebook.com/photo?fbid=1134381909965470&set=basw.AbqJEAClDzEbR_6KuLIphmRABP36Rr7v0wD2Pw-1ovYZ3ENBVkjwhsLVNL7U4MdpGdoZTIvmByVvNOGYJp6eyjh1NrbydHStQ4vnr6yWKS6qO4QvqsGejVLHHZDbqp6j7XpEBgXxsw2nkvKP0RZQWxdzpp-Lh0sCThNHsU61mZ3UCA&opaqueCursor=AborOn3MGuoBueUspzrGPGv18vze-VNntivOGlk-dTbFsM3UiTAn333E4n_EMcfXQzDVbnDKr-WxEysz-YObSghM2FuKRvs48xtQj3lQUpDTBYflXLNnotBAOI9mnbyW0e0n-yf9gcYNgllFtUSaEcTtKeBYIkqLBT3NA8ffBkgxBL9PyEBLPm_daEep7wviAjiQQxivnrXfEpZcC7EpsckipNqUcGVwYwdMEsFJAUIgWEMwWt6VsCWtZ-V0VVjsf2mpi4a-bdEdoYIMdlSzmw0UFs337rvq8gaCDSBZVnycbODwklASpswS-KRMFm7035J9tkl4iRKIDSKeKMTA1gLLnpdsXVhkNI1SJGZcmpwcY86DR9VbGHLAJrezj9LZx08OvSIdrjBJNISZ6S0Xro5DqUz6CebQyBxS4BIvk62MLRMrOrZGhMhywSxBZ4Ws9m91RZ81hAte35KWMxaBSOqeZ1LrfVaVnbtfpPSwdvd7NXVhkeXjjeNtVZPtDMhVcIQRP3HXzGk4ZlqilgmXzUxqX9RvaFeSnkVBHxazcNIgVzplUQ1jXCpA3-spwS919NrEfkjwrACJZGKji3OJyroL9152dvwOYHhgnwo6hT9rBGdCaqlc3CYje_v_hrO5_Kq8X2rdTY-Ed2MfoEW5GhXBdu3nuecO-ttPg0PE1zN9qaUp6Er-_gfuFSdPfMB-O54
141,Latest Sightings-Kruger,Adderz,Facebook,Winter,10/7/2016,afternoon,South Africa,Mpumalanga,Between Skukuza and Phabeni gate,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,open grass,walking,,,https://web.facebook.com/photo?fbid=1140156152721379&set=bc.Abp0RdBnj5eHPSPOwA76jRNwuP-wQBw3SP1VPM_P5SLCEhJXCv-C7pzYDMLYEfGcrU-sfJ_zptB6fuWnaPFGR7jEtSQFHlm2lPx6kRlmn2--W_p4REM60sMG2qCoOeMgTvZGfiUL6XDCdNY4QKbNznyd&opaqueCursor=Abri2eXTlrIyvzPw6Kyj-q8D7gvHDUsJ_2PtOHDTFa_gkS-wuGLTQTS9_pyh7M50dbMcUDxqhtw2Ac1bYcyYdkvhqa4g3m5UYhPElv1kxHtOeRXlwgp8RJCBEF_cLEZsYfodSocgu58UgfQaqHV8RwoxA-rRHBtBTDtmwnQOEX9vEFN8UN43kim3RiSiY8fBlsozkrgfGEWP1RfIPDNeWj_lgQ3yvvRuP8slIYasvSMov-VsG42kTuXIpUYlAqTt4u-JKOoastZqJD5yMGzkPmL8HyBBXshFhDzVcRwJ_lJI2viIhlt-toqaI0n4mxEiIjJDXQJOGYWC1cqBY7sMo5no2YpyXEe2oPVXQzuPwkWzrGPcAiNSQxyOVGsxNl4OVtqUgZidx_I569DuTffXhVLbH6P_QYrQgWNdRrVWHE_hHMm5KdIrcFhkE_8B7gM6PrG9b0hovqeMPvhI3cbuWiqB6zk8RKfVwq491zUzwcqd-swAsnqiq-TnQkg6rSraUXtkvw6ipQRKEFue5k-w3I9CQtd-u6m6K_TQYARVLd3Onw
142,Latest Sightings-Kruger,Elizna,Facebook,Winter,3/7/2017,daylight,South Africa,Mpumalanga,near Berg en dal,Kruger National Park,situated on the bank of the Matjulu Spruit ,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=1594204657316524&set=bc.Abqx7w5uaBFqlW6YqEsgtPJjgf9HUF-qZ7FYhZYV_52oc5OP9zlCk7NTBXaNbyYIrrpEDEstWXwKLCgHg0vYgCADzEjG7ot3gZhuFU2hI4Ael3A_5RB-EQC2Ibx100YKGH-DkTUmSlQ4AouBZvGkPovcZE2n_YsGiAYaxD5l2U4IL5Ig6goEdIxMytGKNWefyS8&opaqueCursor=AbrvwsMsLyfq470TuF0y50NstRljJVZ4hPHtLRjTgAvyKhpdAaVVBW5N_HJRm6DXhiNoyh7UXMdZtKJeIQX8IFGK-rix-5hyXxqd4710vrnF_NMI1taAC3jcIx1Rf_aQCyiT4r5RyjulUru1TJQgLTUeTuWS8YBmRMlrR97vNZpgsRElA_ttKjgIvviBh43fOEcLKF2XmYpRwtE3-YRZK35NiYOyBBgNV54UKjlYMCuACvnSPi3ppibuRIVv6wtZV-_5j0ETjjAhrVLGsS-cURqbGpTQ5vQbotMwFsn-UxbdL5SSyw31hYkAI19Mlo3MdQbhF4cVDs-esXSex5sok-fEYvzzGNH31L3UeQNtWqwYZkNcaAA8vfugtdZzsDMoatr9UCikYZmakSj7L8ZQdA1AfDOS0IHjuI9vLE_n7Ze1fa5CPxxHIELlUE9RBVn4w-whA6hWC6Yeds2XYyTO7KDCkoWbP5TBBYl3ZPxS-Sd2Jb1zvqxIfN1VDvyfKxlrZSc
143,latest Sightings-Kruger,Dyllan Forman,Facebook,Winter,25/6/2017,afternoon,South Africa,Mpumalanga,near Berg en dal,Kruger National Park,situated on the bank of the Matjulu Spruit ,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,bushes,walking,,,https://web.facebook.com/photo?fbid=1583617405041916&set=bc.Abo4A7j5e-WtOpMKhn41WvL_y5BmwcCLOh7xjLhpsQgIil-TlnkaVrLB0SYruEV2ZYH9BtQ8lCd1wmJW0hpsfzGh_8WNwX6y5mNriaE_TNKFmZk7LYmHzT_OPjYtaA2GTRlHsNeaUdfUEaC2cUU-tPf9vgRfac6xwSUrsOiYlKVVDyAwQViQDY2QXlIlVnGTwyk&opaqueCursor=AbpzHEnZDAoIR4GVJ7ExRFsbGOVxcam6CRnnpQwZOVwNoKW0YzaPZBs0j_c5QJGl_mcj63lZLoZOrimlarc04tx-5HkhCr3kmk6R4N9-66yoi7Bf_YhMeK_tI-tkFpg28JJ9fk9dEgSpwBwU38_-eiqQLJp7gBMLTZquHIB-cBr4IAtq0ZxK8HQIQvCquwn_IbqR0KemZv6tYKADswBbeoj1UC538KfIlZXMYcNnE8OvwQMoLIs1iFtu-_kdSzJvVS0-vDdZMp3uw0fHSQeX35-LESY09KdzlfC3jHBGsWcmEaFMGiimONSK-Da0XLWR7GJjwBMNO15dzbjVbXPGXKfMqGAqCnnu6qZX6cniIpYSSr8gLzQrGrWyhTRqcF-qEBEs9NYQojv-pEYBKGaVdLFdE7mi9AaR1kF2WtdRzD0sk3EHaFn1AbMfI_Mogpbgkqf6nhHbq2KpTwcdk2rUVNTNICTch6I-HrfkwfHJkuXuFKXSabuXoEDcefKG79bacsPfRnC68mwxFoKoIyN3V-pS
144,latest Sightings-Kruger,Cermann,Facebook,Spring,27/9/2017,morning,South Africa,Mpumalanga,near Berg en dal,Kruger National Park,situated on the bank of the Matjulu Spruit ,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=1701725023231153&set=bc.AbrKxr0kALbS_1YiBUjdAwYsLjwF_dNGlhob0n32rKAjYYbmG9TilsDyd6ZlUJhtdZVtB5yhaDBWI1e--VKF4rqPoWbqSWZA_mJwEnjtiLUS6Kf4gOGn-dkIDT-c4Yg1-8VnpoK1GFPe09wP8kdOVGBkGdQ7DjbDdi_F83n2huh1ffaIHNxj7QnzGcRDnXxreKY&opaqueCursor=Abo-ddKev8KGQL9dgX307bXIvIFDTnKBGBCTrkyBOqdCWWSqXNz3XXfj26-el8DEkVSI0AF1gpRNlWgQGJnmJFailr_WfShVZg8jMFHAJCU6KXMv2WXLbtuFXmKH7wfcAvtzB--oSL_gO0EYvdBBWx-9OUysez08da4Ipx5O2c87csicrvbzgqifyW2d5MqnhjMolywxYfUKL35i6S-YdABYEdiZy5KdJy596T6sd8MkfnBraTj_YH4v2fd3qTQWUl_tX3_Th3CC5yrFQztwZAfcllT6aRPyXGSHkBDp0qWzGQ4tJkHSdlORw0A4-Cg03dc9GoVcrXhxXlVnAE2IK6eWS8VfzNhLOXnjOBFZgFkQK8hZ04KZ9qo_G50mzfeb75Oo0CpGggIhwA-A4MVMAf3Wr0PjSHa5C0maXtmheuxnaAscAZbN-dFzJ0XTlh-TeC0tLpH2AstdJzPhWtnWQANHf5RsAKYpPwCiyz9eEPgrHw
145,thornybush.safari,Sabre Rayne Meeser,Instagram,Winter,12/8/2018,afternoon,South Africa,Mpumalanga,Simbambili Game lodge,Sabi Sands Game Reserve,situated on the banks of the seasonal Manyeleti River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,sniffing,,,https://www.instagram.com/p/BmYB973H5xv/
146,sabrewildlife,Sabre Rayne Meeser,Instagram,Winter,14/7/2017,afternoon,South Africa,Mpumalanga,Simbambili Game lodge,Sabi Sands Game Reserve,situated on the banks of the seasonal Manyeleti River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/BWhXZAQD9tu/
147,sabrewildlife,Sabre Rayne Meeser,Instagram,Winter,10/8/2017,afternoon,South Africa,Mpumalanga,Simbambili Game lodge,Sabi Sands Game Reserve,situated on the banks of the seasonal Manyeleti River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking under a vehicle,,yes,https://www.instagram.com/p/BXmVcwsj0tm/
148,Wildtography,Hugo Breed,Instagram,Winter,9/7/2016,evening,South Africa,Mpumalanga,Leopard Hills Private Game Reserve,Sabi Sands Game Reserve,"located in the western sector, bordering the famous Kruger National Park.",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/BHozD8fAWKz/
149,wildtography,Hugo breed,Instagram,Winter,23/7/2016,evening,South Africa,Mpumalanga,Leopard Hills Private Game Reserve,Sabi Sands Game Reserve,"located in the western sector, bordering the famous Kruger National Park.",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/BINCM5ggt4H/
150,leopardhills,Hugo Breed,Instagram,Autumn,13/4/2017,morning,South Africa,Mpumalanga,Leopard Hills Private Game Reserve,Sabi Sands Game Reserve,"located in the western sector, bordering the famous Kruger National Park.",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,paused,,,https://www.instagram.com/p/BS0iOISlVff/
151,rangerstu24,Stuart Buy,Instagram,Spring,7/9/2019,evening,South Africa,Mpumalanga,Leopard Hills Private Game Reserve,Sabi Sands Game Reserve,"located in the western sector, bordering the famous Kruger National Park.",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/B2GkWxEA5cI/
152,rangerstu24,Stuart Buy,Instagram,Spring,18/10/2019,evening,South Africa,Mpumalanga,Leopard Hills Private Game Reserve,Sabi Sands Game Reserve,"located in the western sector, bordering the famous Kruger National Park.",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,curled,,,https://www.instagram.com/p/B3wTd8eg_uR/
153,leopard hills private game reserve,Heinrich Rontgen,Facebook,Spring,12/9/2011,evening,South Africa,Mpumalanga,Leopard Hills Private Game Reserve,Sabi Sands Game Reserve,"located in the western sector, bordering the famous Kruger National Park.",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.facebook.com/LeopardHills/photos/a.109442289118540/209073212488780/?type=3&theater
154,leopard hills private game reserve,Heinrich Rontgen,Facebook,Spring,17/10/2011,morning,South Africa,Mpumalanga,Leopard Hills Private Game Reserve,Sabi Sands Game Reserve,"located in the western sector, bordering the famous Kruger National Park.",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,curling,,,https://www.facebook.com/LeopardHills/photos/a.109442289118540/224869767575791/?type=3&theater
155,"Cheetah Plains Private Game Reserve, Sabi Sand, South Africa",Andrew Khosa,Facebook,Winter,6/6/2019,afternoon,South Africa,Mpumalanga,Cheetah Plains Private Game Reserve,Sabi Sands Game Reserve,"situated adjacent to the Kruger National Park, in the northwest corner of the Sabi Sands Game Reserve",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,thick grass,foraging and feeding,,,https://web.facebook.com/CheetahPlains/posts/2393721094013658
156,"Cheetah Plains Private Game Reserve, Sabi Sand, South Africa",Sipps Maswanganyi,Facebook,Summer,2/1/2019,afternoon,South Africa,Mpumalanga,Cheetah Plains Private Game Reserve,Sabi Sands Game Reserve,"situated adjacent to the Kruger National Park, in the northwest corner of the Sabi Sands Game Reserve",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,dead,open area,preyed by an adult male lion,Young pangolin,,https://web.facebook.com/CheetahPlains/posts/2153367434715693
157,"Cheetah Plains Private Game Reserve, Sabi Sand, South Africa",Candace Grey,Facebook,Spring,8/11/2017,evening,South Africa,Mpumalanga,Cheetah Plains Private Game Reserve,Sabi Sands Game Reserve,"situated adjacent to the Kruger National Park, in the northwest corner of the Sabi Sands Game Reserve",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,thick grass,walking with pup on her back,female with pup,,https://web.facebook.com/CheetahPlains/posts/1632565266795915
158,"Cheetah Plains Private Game Reserve, Sabi Sand, South Africa",David B Goldstein,Facebook,Autumn,14/5/2013,evening,South Africa,Mpumalanga,Cheetah Plains Private Game Reserve,Sabi Sands Game Reserve,"situated adjacent to the Kruger National Park, in the northwest corner of the Sabi Sands Game Reserve",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=548354088550377&set=a.295385290513926
159,African Pangolin Working Group,Vaughan Jessnitz,Facebook,Winter,7/8/2014,evening,South Africa,Mpumalanga,Manyeleti Game Reserve,,"between Sabi Sand, Timbavati and bordering Kruger National Park",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,thick grass,hiding,,,https://web.facebook.com/search/top/?q=manyeleti%20reserve-pangolin&epa=SEARCH_BOX
160,armand_grobler_photography,Armand Grobler,Instagram,Winter,26/8/2016,evening,South Africa,Mpumalanga,Manyeleti Game Reserve,,"between Sabi Sand, Timbavati and bordering Kruger National Park",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/BJkgKqKA-oN/?igshid=1tlvrcf1l0zqe
161,markbushlife,Mark Winkler,Instagram,Spring,3/9/2018,afternoon,South Africa,Mpumalanga,Lion Sands Game Reserve,Sabi Sands Game Reserve,near Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,young male,,https://www.instagram.com/p/BnP6kL6HYHi/
162,markbushlife,Mark Winkler,Instagram,Summer,4/12/2018,afternoon,South Africa,Mpumalanga,Lion Sands Game Reserve,Sabi Sands Game Reserve,near Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/Bq9hTiilIo9/?igshid=1ayek9ht1w4zv
163,markbushlife,Mark Winkler,Instagram,Autumn,26/3/2019,afternoon,South Africa,Mpumalanga,Lion Sands Game Reserve,Sabi Sands Game Reserve,near Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/BvdkJT3FxbJ/
164,lionsandsgamereserve,Abbot,Instagram,Summer,17/2/2018,afternoon,South Africa,Mpumalanga,Lion Sands Game Reserve,Sabi Sands Game Reserve,near Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/BfSglxWgDZL/
165,lionsandsgamereserve,Mark Winkler,Instagram,Spring,25/10/2017,afternoon,South Africa,Mpumalanga,Lion Sands Game Reserve,Sabi Sands Game Reserve,near Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/BarEitfgDkQ/
166,lionsandsgamereserve,Quinton Paul Josop,Instagram,Spring,21/11/2016,evening,South Africa,Mpumalanga,Lion Sands Game Reserve,Sabi Sands Game Reserve,near Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/BNEi9UZhjeN/
167,Kyle de Nobrega Photography,Kyle de Nobrega,Facebook,Autumn,2/5/2013,evening,South Africa,Mpumalanga,Lion Sands Game Reserve,Sabi Sands Game Reserve,near Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/503270146361779/photos/a.503295119692615/562465487108911/?type=3&theater
168,Umkumbe Safari Lodge,Geoffrey Haslam,Instagram,Winter,27/8/2018,daylight,South Africa,Mpumalanga,Umkumbe Safari Lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/umkumbe/photos/a.217303311615867/2028923817120465/?type=3&theater
169,Umkumbe Safari Lodge,,Instagram,Winter,1/6/2018,afternoon,South Africa,Mpumalanga,Umkumbe Safari Lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,lying on the ground,,yes,https://web.facebook.com/umkumbe/photos/a.690895510923309/1893728357306679/?type=3&theater
170,Umkumbe Safari Lodge,,Instagram,Autumn,9/5/2017,evening,South Africa,Mpumalanga,Umkumbe Safari Lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,lying on the ground,,,https://web.facebook.com/umkumbe/photos/a.217303311615867/1503531532993032/?type=3&theater
171,Umkumbe Safari Lodge,Marius Zeilinga,Instagram,Winter,4/8/2016,evening,South Africa,Mpumalanga,Umkumbe Safari Lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/umkumbe/photos/a.217303311615867/1223436801002508/?type=3&theater
172,Nkorho Bush Lodge,Chere,Facebook,Winter,2/6/2017,afternoon,South Africa,Mpumalanga,Nkorho Bush Lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/nkorho/photos/pcb.683495655172304/683494855172384/
173,Nkorho Bush Lodge,,Facebook,Autumn,14/4/2018,evening,South Africa,Mpumalanga,Nkorho Bush Lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/nkorho/photos/pcb.832517460270122/832515860270282/
174,Nkorho Bush Lodge,,Facebook,Spring,6/11/2018,evening,South Africa,Mpumalanga,Nkorho Bush Lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/nkorho/photos/pcb.977506182437915/977504252438108/
175,Nkorho Bush Lodge,,Facebook,Winter,20/6/2017,evening,South Africa,Mpumalanga,Nkorho Bush Lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/nkorho/videos/691918484330021
176,Simbambili Game Lodge,Liam Rainier,Facebook,Winter,14/5/2015,evening,South Africa,Mpumalanga,Simbambili Game lodge,Sabi Sands Game Reserve,adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/simbambiligamelodge/photos/a.650181538446238/650182481779477/
177,steve.wildaperture,Steve Walker,Instagram,Winter,17/6/2017,daylight,South Africa,Mpumalanga,Ngala Private Game Reserve,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/BVbQzDTllRU/?igshid=jtj1nyut2hbk
178,steve.wildaperture,Steve Walker,Instagram,Spring,12/10/2018,daylight,South Africa,Mpumalanga,Ngala Private Game Reserve,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/Bo1FpgMHs6I/?igshid=1x636l24o1yuv
179,jameswalkerwildlife,James Walker,Instagram,Summer,19/2/2018,daylight,South Africa,Mpumalanga,Ngala Private Game Reserve,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/BfXrX5alocc/?igshid=7lar230ebgsd
180,Ngala Private Game Reserve,Scotty,Facebook,Spring,29/9/2018,evening,South Africa,Mpumalanga,Ngala Private Game Reserve,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/282073051842805/photos/a.641529755897131/1025386274178142/
181,Ngala Private Game Reserve,Andrew Nicholson,Facebook,Spring,27/11/2013,afternoon,South Africa,Mpumalanga,Ngala Private Game Reserve,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/282073051842805/photos/a.497661780283930/654291697954270/
182,Ngala Private Game Reserve,Amy Attenborough,Facebook,Winter,2/7/2014,afternoon,South Africa,Mpumalanga,Ngala Private Game Reserve,Kruger National Park,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,road,curled,,yes,https://web.facebook.com/282073051842805/photos/a.641529755897131/772434072806698
183,jjkrs1,JJ Oosthuizen,Instagram,Winter,16/8/2016,afternoon,South Africa,Mpumalanga,Timbavati Game Reserve,,"between Hoedspruit and Acornhoek, situated on the western edge of Kruger National Park",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/BJKxGfYDeIw/
184,jjkrs1,JJ Oosthuizen,Instagram,Summer,19/2/2018,afternoon,South Africa,Mpumalanga,Timbavati Game Reserve,,"between Hoedspruit and Acornhoek, situated on the western edge of Kruger National Park",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,uncurling and walking,,yes,https://www.instagram.com/p/BfXMSDphfTI/
185,jjkrs1,JJ Oosthuizen,Instagram,Winter,29/7/2018,afternoon,South Africa,Mpumalanga,Timbavati Game Reserve,,"between Hoedspruit and Acornhoek, situated on the western edge of Kruger National Park",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking under a branch,,yes,https://www.instagram.com/p/Blzw2trgzED/
186,rangermarksmith,Mark Smith,Instagram,Winter,25/8/2016,daylight,South Africa,Mpumalanga,Timbavati Game Reserve,,"between Hoedspruit and Acornhoek, situated on the western edge of Kruger National Park",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/BJhy9BQApo9/
